,Date,Price,Open,High,Low,Volume,pct_change,MA10,MA10_td,MA30,MA30_td,MA50,MA50_td,%K,%K_td,%D,%D_td,RSI,RSI_td,Momentum,Momentum_td,EMA12,EMA26,MACD,Signal,MACD_td,TP,SMA_TP,MD,CCI,CCI_td,MA,STD,Upper_BB,Lower_BB,BB_td,ATR,OBV,OBV_td,VWAP,VWAP_td,Fib_23.6,Fib_38.2,Fib_50.0,Fib_61.8,Tenkan_sen,Kijun_sen,Senkou_span_A,Senkou_span_B,Chikou_span,PMO,PMO_td,Volatility,Volatility_Ratio,Volatility_Ratio_td,TSI,TSI_td
44,2010-08-31,0.1,0.1,0.1,0.1,14890.0,0.0,0.1,0,0.1,0,,0,100.0,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.09833333333333336,0.003166666666666665,35.087719298245574,0,0.1,0.0,0.1,0.1,,0.0071428571428571435,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.05,0.05,,,0.1,,0,0.0,,0,0.0,0
45,2010-09-01,0.1,0.1,0.1,0.1,7170.0,0.0,0.1,0,0.1,0,,0,100.0,0,100.0,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.09833333333333336,0.003166666666666665,35.087719298245574,0,0.1,0.0,0.1,0.1,,0.0071428571428571435,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.05,0.05,,,0.1,,0,0.0,,0,0.0,0
46,2010-09-02,0.1,0.1,0.1,0.1,8150.0,0.0,0.1,0,0.1,0,,0,100.0,0,100.0,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.09833333333333336,0.003166666666666665,35.087719298245574,0,0.1,0.0,0.1,0.1,,0.0071428571428571435,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.05,0.05,,,0.1,,0,0.0,,0,0.0,0
47,2010-09-03,0.1,0.1,0.1,0.1,890.0,0.0,0.1,0,0.1,0,,0,100.0,0,100.0,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.09833333333333336,0.003166666666666665,35.087719298245574,0,0.1,0.0,0.1,0.1,,0.0071428571428571435,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.05,0.05,,,0.1,,0,0.0,,0,0.0,0
48,2010-09-04,0.1,0.1,0.1,0.1,3300.0,0.0,0.1,0,0.1,0,,0,100.0,0,100.0,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.09833333333333336,0.003166666666666665,35.087719298245574,0,0.1,0.0,0.1,0.1,,0.0071428571428571435,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.05,0.05,,,0.1,,0,0.0,,0,0.0,0
49,2010-09-05,0.1,0.1,0.1,0.1,8460.0,0.0,0.1,0,0.1,0,0.1,0,100.0,0,100.0,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.09833333333333336,0.003166666666666665,35.087719298245574,0,0.1,0.0,0.1,0.1,,0.0071428571428571435,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.05,0.05,,,0.1,,0,0.0,,0,0.0,0
50,2010-09-06,0.1,0.1,0.1,0.1,910.0,0.0,0.1,0,0.1,0,0.1,0,100.0,0,100.0,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.09833333333333336,0.003166666666666665,35.087719298245574,0,0.1,0.0,0.1,0.1,,0.0071428571428571435,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.05,0.05,,,0.1,,0,0.0,,0,0.0,0
51,2010-09-07,0.1,0.1,0.1,0.1,3460.0,0.0,0.1,0,0.1,0,0.1,0,100.0,0,100.0,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.09833333333333336,0.003166666666666665,35.087719298245574,0,0.1,0.0,0.1,0.1,,0.0071428571428571435,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.05,0.05,0.1,,0.1,,0,0.0,,0,0.0,0
52,2010-09-08,0.1,0.1,0.1,0.1,2350.0,0.0,0.1,0,0.1,0,0.1,0,100.0,0,100.0,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.09833333333333336,0.003166666666666665,35.087719298245574,0,0.1,0.0,0.1,0.1,,0.0071428571428571435,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,0.05,0.1,,0.1,,0,0.0,,0,0.0,0
53,2010-09-09,0.1,0.1,0.1,0.1,1730.0,0.0,0.1,0,0.1,0,0.1,0,100.0,0,100.0,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.09833333333333336,0.003166666666666665,35.087719298245574,0,0.1,0.0,0.1,0.1,,0.0071428571428571435,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,0.05,0.1,,0.1,,0,0.0,,0,0.0,0
